id,left_brand,left_productName,left_price,right_brand,right_productName,right_price
1000110,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,L'OR,Koffie Capsules Lungo Elegante Intensiteit 6 Nespresso®* Compatibel 10 stuks,3.5900
1000111,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,L'OR,Koffie Capsules Nespresso® Compatible Lungo Mattinata Intensiteit 5 10 Stuks,3.5900
1000112,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,L'OR,Koffie Capsule Lungo Profondo Intensiteit 8 Nespresso®* Compatibel 10 stuks,3.5900
1000113,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,L'OR,Koffie Capsules Espresso Delizioso Intensiteit 5 Nespresso®* Compatibel 10 stuks,3.5900
1000114,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Douwe Egberts,Koffie Capsules Black Ristretto Intensiteit 12 Nespresso®* Compatibel 20 stuks,4.6800
1000115,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Lavazza,Koffie Pads Classico 36st,5.3600
1000116,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Lavazza,Koffie Pads Intenso 36pcs,5.3600
1000117,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,L'OR,Koffie Capsules Espresso Delizioso Intensiteit 5 Nespresso®* Compatibel 20 stuks,6.5900
1000118,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Nestlé,Koffie RICORÉ Doos 100 g,3.8800
1000119,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Nestlé,Koffie Ricoré Doos 250 g,6.1700
1000120,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Douwe Egberts,Koffie Capsules Decaf Lungo Intensiteit 06 Nespresso®* Compatibel 20 stuks,4.6800
1000121,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Rombouts,Goudmerk Gemalen 250 g,4.3800
1000122,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,L'OR,Koffie Capsules Espresso Forza Intensiteit 9 Nespresso®* Compatibel 20 stuks,6.5900
1000123,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,L'OR,Koffie Capsules Lungo Profondo Intensiteit 8 Nespresso®* Compatibel  20 stuks,6.5900
1000124,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,L'OR,Koffie Capsules Lungo Elegante Intensiteit 6 Nespresso®* Compatibel 20 stuks,6.5900
1000125,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,L'OR,Koffie Capsules Espresso Ristretto Intensiteit 11 Nespresso®* Compatibel 20 stuks,6.5900
1000126,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,illy,Koffie Capsules Espresso Deca Nespresso®* Compatibel 10 stuks,4.5900
1000127,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,Max Havelaar,Bananen Fairtrade 850 g,1.6900
1000128,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,BONI,Fairtrade wit praline,1.9900
1000129,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,,Fairtrade-juniorbananen,0.0000
1000130,Latitude 28,Koffie | Ethiopia | Gemalen | Fairtrade,4.3900,DUCROS,sjalot gemalen,2.2100
